category,fiscal_month,amount
payroll,1,107.5
employee_benefits,1,73.0
pension,1,0.8
purchases_of_services,1,35.9
materials_equipment,1,2.7
contributions_indemnities,1,21.2
debt_service_short,1,0.1
debt_service_long,1,125.7
interfund_charges,1,0.4
advances_misc_payments,1,0.0
current_year_appropriation,1,367.4
prior_year_encumbrances,1,45.2
prior_year_vouchers_payable,1,-38.3
total_disbursements,1,374.4
payroll,2,159.6
employee_benefits,2,46.4
pension,2,-4.9
purchases_of_services,2,91.3
materials_equipment,2,6.4
contributions_indemnities,2,9.7
debt_service_short,2,0.0
debt_service_long,2,0.0
interfund_charges,2,30.6
advances_misc_payments,2,0.0
current_year_appropriation,2,339.1
prior_year_encumbrances,2,58.3
prior_year_vouchers_payable,2,22.8
total_disbursements,2,420.2
payroll,3,164.8
employee_benefits,3,49.1
pension,3,11.2
purchases_of_services,3,67.4
materials_equipment,3,6.7
contributions_indemnities,3,77.1
debt_service_short,3,0.1
debt_service_long,3,0.0
interfund_charges,3,42.3
advances_misc_payments,3,0.0
current_year_appropriation,3,418.6
prior_year_encumbrances,3,22.1
prior_year_vouchers_payable,3,-16.8
total_disbursements,3,423.8
payroll,4,150.9
employee_benefits,4,64.3
pension,4,89.3
purchases_of_services,4,104.9
materials_equipment,4,7.9
contributions_indemnities,4,18.5
debt_service_short,4,0.0
debt_service_long,4,6.3
interfund_charges,4,0.0
advances_misc_payments,4,0.0
current_year_appropriation,4,442.1
prior_year_encumbrances,4,22.1
prior_year_vouchers_payable,4,7.5
total_disbursements,4,471.8
payroll,5,169.1
employee_benefits,5,60.7
pension,5,-0.3
purchases_of_services,5,96.7
materials_equipment,5,11.0
contributions_indemnities,5,18.6
debt_service_short,5,0.0
debt_service_long,5,0.2
interfund_charges,5,10.0
advances_misc_payments,5,8.3
current_year_appropriation,5,374.3
prior_year_encumbrances,5,13.7
prior_year_vouchers_payable,5,20.1
total_disbursements,5,408.1
payroll,6,242.1
employee_benefits,6,87.3
pension,6,3.2
purchases_of_services,6,114.2
materials_equipment,6,11.8
contributions_indemnities,6,96.2
debt_service_short,6,0.0
debt_service_long,6,0.2
interfund_charges,6,38.3
advances_misc_payments,6,8.3
current_year_appropriation,6,601.6
prior_year_encumbrances,6,10.9
prior_year_vouchers_payable,6,0.0
total_disbursements,6,612.5
payroll,7,169.1
employee_benefits,7,60.7
pension,7,-0.3
purchases_of_services,7,90.1
materials_equipment,7,12.2
contributions_indemnities,7,9.4
debt_service_short,7,0.0
debt_service_long,7,5.1
interfund_charges,7,0.0
advances_misc_payments,7,8.3
current_year_appropriation,7,354.6
prior_year_encumbrances,7,13.7
prior_year_vouchers_payable,7,0.0
total_disbursements,7,368.2
payroll,8,168.3
employee_benefits,8,60.4
pension,8,-0.3
purchases_of_services,8,88.5
materials_equipment,8,11.0
contributions_indemnities,8,17.2
debt_service_short,8,0.0
debt_service_long,8,56.3
interfund_charges,8,0.0
advances_misc_payments,8,8.3
current_year_appropriation,8,409.6
prior_year_encumbrances,8,15.7
prior_year_vouchers_payable,8,0.0
total_disbursements,8,425.4
payroll,9,186.5
employee_benefits,9,66.5
pension,9,679.3
purchases_of_services,9,130.6
materials_equipment,9,13.1
contributions_indemnities,9,74.5
debt_service_short,9,0.0
debt_service_long,9,0.2
interfund_charges,9,0.0
advances_misc_payments,9,8.3
current_year_appropriation,9,1159.1
prior_year_encumbrances,9,12.7
prior_year_vouchers_payable,9,0.0
total_disbursements,9,1171.8
payroll,10,169.1
employee_benefits,10,60.7
pension,10,-0.6
purchases_of_services,10,120.8
materials_equipment,10,14.0
contributions_indemnities,10,8.0
debt_service_short,10,0.0
debt_service_long,10,0.2
interfund_charges,10,0.0
advances_misc_payments,10,8.3
current_year_appropriation,10,380.5
prior_year_encumbrances,10,6.8
prior_year_vouchers_payable,10,0.0
total_disbursements,10,387.3
payroll,11,242.1
employee_benefits,11,84.5
pension,11,-0.5
purchases_of_services,11,129.6
materials_equipment,11,13.2
contributions_indemnities,11,4.7
debt_service_short,11,0.0
debt_service_long,11,0.2
interfund_charges,11,0.0
advances_misc_payments,11,8.3
current_year_appropriation,11,482.0
prior_year_encumbrances,11,4.7
prior_year_vouchers_payable,11,0.0
total_disbursements,11,486.7
payroll,12,174.3
employee_benefits,12,62.6
pension,12,-4.6
purchases_of_services,12,106.1
materials_equipment,12,13.7
contributions_indemnities,12,85.0
debt_service_short,12,2.0
debt_service_long,12,5.1
interfund_charges,12,1.1
advances_misc_payments,12,8.4
current_year_appropriation,12,453.8
prior_year_encumbrances,12,5.2
prior_year_vouchers_payable,12,2.3
total_disbursements,12,461.3
payroll,13,2103.5
employee_benefits,13,776.2
pension,13,772.3
purchases_of_services,13,1176.1
materials_equipment,13,123.9
contributions_indemnities,13,440.0
debt_service_short,13,2.2
debt_service_long,13,199.4
interfund_charges,13,122.6
advances_misc_payments,13,66.5
current_year_appropriation,13,5782.8
prior_year_encumbrances,13,231.2
prior_year_vouchers_payable,13,-2.5
total_disbursements,13,6011.4
