0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 29,March 31,April 30,May 31,June 30,Total,Accrued,Not Accrued,Estimated Revenues
REVENUES,,,,,,,,,,,,,,,,
Real Estate Tax,9.8,2.6,7.3,10.3,6.8,36.8,48.3,81.6,475.7,127.0,19.1,10.7,836.1,,,836.1
"Total Wage, Earnings, Net Profits",166.3,130.8,131.8,180.8,"139,4",145.6,202.0,145.3,165.9,194.2,"151,9","137,9","1,891.9",,,1891.9
Realty Transfer Tax,29.7,23.8,23.8,"20,7","18,5",16.2,23.0,15.3,24.0,26.1,27.8,29.8,278.7,,,278.7
Sales Tax,32.8,39.9,16.1,"0,0","34,5",16.1,15.6,20.6,17.3,"33,3",38.3,45.0,309.5,2.8,,312.3
Business Income & Receipts Tax,23.5,6.4,30.3,"34,9",(8.6),22.8,18.6,6.8,"67,7",321.0,75.0,25.0,623.1,,,623.1
Beverage Tax,6.3,5.9,6.3,5.9,5.4,5.7,6.8,5.5,6.0,6.0,6.0,6.6,72.3,,,72.3
Other Taxes,(3.7),10.8,8.5,4.4,4.5,3.7,1.8,2.9,3.3,"3,8",3.0,2.7,45.6,,,45.6
Locally Generated Non-tax,43.1,39.8,45.6,25.4,37.2,35.1,17.9,23.0,24.9,"22,6",22.9,19.3,356.9,,,356.9
"Total Other Governments, Excluding PICA Tax",1.3,72.6,100.4,29.4,66.8,6.9,19.6,4.4,15.5,17.8,16.7,13.4,364.7,2.0,,366.7
Total PICA Other Governments,50.2,56.0,53.4,54.5,48.1,51.5,67.2,59.9,"57,4",81.8,74.9,"48,4",703.3,0.0,,703.3
Interfund Transfers,0.0,0.0,0.0,0.0,0.0,0.0,390.8,0.0,0.0,0.0,0.0,25.9,416.7,,40.1,456.8
Total Current Revenue,359.5,388.5,423.4,366.3,352.5,340.4,811.5,365.4,857.8,833.6,435.5,364.5,"5,898.8",4.8,40.1,5943.7
Collection of prior year(s) revenue,22.2,0.0,0.0,(32.0),0.0,0.0,0.0,0.0,0.0,0.0,"0,0","0,0",(9.8),,,
Other fund balance adjustments,,,,,,,,,,,,,,,,
TOTAL CASH RECEIPTS,381.7,388.5,423.4,334.3,352.5,340.4,811.5,365.4,857.8,833.6,435.5,364.5,"5,889.0",,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 29,March 31,April 30,May 31,June 30,Total,Vouchers Payable,Encum- brances,Estimated Obligations
EXPENSES AND OBLIGATIONS,,,,,,,,,,,,,,,,
Payroll,107.5,159.6,164.8,150.9,160.7,210.5,143.5,179.6,199.8,181.2,247.5,187.8,"2,093.5",80.0,4.4,2178.0
Employee Benefits,73.0,46.4,49.1,64.3,"54,7",68.6,55.0,66.4,72.5,66.7,91.0,68.6,776.2,16.1,0.5,792.8
Pension,0.8,(4.9),11.2,89.3,(11.2),(3.7),(5.3),(0.3),679.3,(0.6),(0.5),(4.6),749.5,118.7,,868.2
Purchase of Services,35.9,91.3,"67,4","104,9","100,9",103.3,"77,6","88,5",130.6,120.8,129.6,116.1,"1,167.0",37.7,217.0,1421.7
"Materials, Equipment",2.7,6.4,6.7,7.9,5.0,5.9,6.6,11.0,13.1,14.0,13.2,13.7,106.3,3.0,104.4,213.7
"Contributions, Indemnities",21.2,9.7,77.1,18.5,22.5,19.6,79.1,17.2,84.5,18.0,14.7,96.7,478.7,,,478.7
Debt Service-Short Term,0.1,"0,0",0.1,0.0,0.0,"0,0",0.1,"0,0",0.0,0.0,"0,0",1.9,2.2,,,2.2
Debt Service-Long Term,125.7,0.0,0.0,6.3,"0,0",2.6,38.7,20.4,0.2,0.2,0.2,5.1,199.4,,,199.4
Interfund Charges,0.4,"30,6",42.3,0.0,0.0,5.9,10.0,"0,0",13.7,0.0,"0,0","95,0",197.8,38.3,,236.2
Advances & Misc. Pmts. / Labor Obligations,0.0,0.0,0.0,0.0,"0,0","0,0","0,0",13.3,13.3,"13,3",13.3,13.3,66.5,,,66.5
Current Year Appropriation,"367,4",339.1,418.6,442.1,"332,6",412.8,405.3,396.0,"1,207.1","413,6","509,0","593,7","5,837.3",293.8,326.3,6457.4
Prior Yr. Expenditures against Encumbrances,45.2,58.3,22.1,22.1,15.6,9.9,17.4,15.7,12.7,6.8,4.7,5.2,235.8,,,
Prior Yr. Salaries & Vouchers Payable,(38.3),22.8,(16.8),7.5,17.5,7.9,(23.0),21.7,0.0,0.0,0.0,2.3,1.6,,,
TOTAL DISBURSEMENTS,374.4,420.2,423.8,471.8,365.6,430.6,399.7,433.5,"1,219.8",420.4,513.7,601.1,"6,074.7",,,
Excess (Def) of Receipts over Disbursements,7.3,(31.7),(0.5),(137.5),(13.1),(90.2),411.8,(68.1),(362.1),413.2,(78.2),(236.7),,,,
Opening Balance,"1,802.2","1,809.6","1,777.9","1,777.4","1,640.0","1,626.8","1,536.6","1,948.4","1,880.3","1,518.2","1,931.5","1,853.2",,,,
TRAN,0.0,"0,0","0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
CLOSING BALANCE,"1,809.6","1,777.9","1,777.4","1,640.0","1,626.8","1,536.6","1,948.4","1,880.3","1,518.2","1,931.5","1,853.2","1,616.6",,,,
