0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2024 YEAR TO DATE,,,,FY 2024 FULL YEAR,,
Department /Category,FY 21 Year End,FY 22 Year End,FY 23,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Office of the Inspector General,,,,,,,,,,,
Full-Time Positions,18,16,18,18,18,0,26,26,26,0,0
Class 100 Total Oblig./Approp.,"1,283,300","1,414,649","1,524,854","1,279,730","1,279,730",0,"2,238,188","2,213,188","2,213,188","25,000",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Office of Property Assessment,,,,,,,,,,,
Full-Time Positions,190,177,182,173,173,0,226,226,226,0,0
Class 100 Total Oblig./Approp.,"13,393,546","13,638,652","13,454,091","9,684,274","9,684,274",0,"16,021,562","16,021,562","16,021,562",0,0
Class 100 Overtime Oblig./Approp.,"42,002","107,053","164,817","150,000","149,088",912,"140,000","200,000","200,000","(60,000)",0
Office of Sustainability,,,,,,,,,,,
Full-Time Positions,8,11,18,24,24,0,23,26,26,(3),0
Class 100 Total Oblig./Approp.,"484,422","842,041","1,148,398","1,261,000","1,261,000",0,"1,511,901","1,729,529","1,729,529","(217,628)",0
Class 100 Overtime Oblig./Approp.,0,480,23,0,0,0,0,0,0,0,0
Parks and Recreation,,,,,,,,,,,
Full-Time Positions,644,613,678,667,667,0,945,945,795,150,150
Class 100 Total Oblig./Approp.,"42,876,919","51,586,651","56,440,606","45,864,360","45,864,360",0,"65,706,117","63,862,117","63,862,117","1,844,000",0
Class 100 Overtime Oblig./Approp.,"2,083,704","4,101,277","5,408,222","4,361,738","3,364,145","997,593","5,835,950","5,815,650","5,815,650","20,300",0
Planning and Development,,,,,,,,,,,
Full-Time Positions,55,54,66,75,75,0,83,83,83,0,0
Class 100 Total Oblig./Approp.,"4,510,200","4,756,995","5,252,008","4,320,600","4,320,600",0,"7,031,654","7,031,654","7,031,654",0,0
Class 100 Overtime Oblig./Approp.,"9,507","22,401","24,704","24,750","25,297",(547),"6,000","33,000","33,000","(27,000)",0
Police,,,,,,,,,,,
Full-Time Positions,"6,869","6,651","6,351","6,278","6,278",0,"7,483","7,483","6,733",750,750
Class 100 Total Oblig./Approp.,"708,324,818","727,678,591","761,129,391","528,127,213","528,127,213",0,"800,086,615","800,086,615","800,086,615",0,0
Class 100 Overtime Oblig./Approp.*,"64,896,010","76,002,003","96,768,961","88,332,797","77,576,877","10,755,920","114,777,062","117,777,062","117,777,062","(3,000,000)",0
Prisons,,,,,,,,,,,
Full-Time Positions,"1,620","1,393","1,312","1,249","1,249",0,"2,186","2,186","1,436",750,750
Class 100 Total Oblig./Approp.,"118,472,913","118,473,913","118,891,418","86,728,259","86,728,259",0,"172,050,282","172,050,282","172,050,282",0,0
Class 100 Overtime Oblig./Approp.,"24,602,298","29,907,097","33,336,433","28,676,250","23,958,764","4,717,486","38,235,000","38,235,000","38,235,000",0,0
Procurement,,,,,,,,,,,
Full-Time Positions,35,35,36,35,35,0,54,54,54,0,0
Class 100 Total Oblig./Approp.,"2,434,690","2,665,060","2,585,104","2,143,165","2,143,165",0,"3,612,226","3,612,226","3,612,226",0,0
Class 100 Overtime Oblig./Approp.,"11,124","1,962","1,738","3,000","2,589",411,0,"4,000","4,000","(4,000)",0
