name,dec_fy24,dec_fy23,fy24_ytd,fy23_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,35029679.0,6446812.0,62173716.0,30242840.0,31930876.0,755010284.0,7.61,current
real_estate,1815348.0,26278628.0,11492067.0,38951632.0,-27459565.0,17206933.0,40.04,prior
real_estate,36845027.0,32725440.0,73665783.0,69194472.0,4471311.0,772217217.0,8.71,total
wage_city,141219622.0,136538859.0,887286121.0,863386519.0,23899602.0,862459879.0,50.71,current
wage_city,1851699.0,-2492172.0,-9486596.0,-30257895.0,20771299.0,12886596.0,-279.02,prior
wage_city,143071321.0,134046687.0,877799525.0,833128624.0,44670901.0,875346475.0,50.07,total
wage_pica,49778755.0,46553869.0,314213059.0,300624155.0,13588904.0,305587798.0,50.7,current
wage_pica,1113027.0,-824608.0,973379.0,-10011702.0,10985081.0,1101263.0,46.92,prior
wage_pica,50891782.0,45729261.0,315186438.0,290612453.0,24573985.0,306689061.0,50.68,total
wage,193963103.0,179775948.0,1192985963.0,1123741077.0,69244886.0,1182035536.0,50.23,total
earnings_city,176143.0,131855.0,2301966.0,2183534.0,118432.0,9698034.0,19.18,current
earnings_city,213876.0,160110.0,2004159.0,1292701.0,711458.0,-4159.0,100.21,prior
earnings_city,390019.0,291965.0,4306125.0,3476235.0,829890.0,9693875.0,30.76,total
earnings_pica,243064.0,90094.0,2475612.0,1268479.0,1207133.0,3650280.0,40.41,current
earnings_pica,,88430.0,193.0,713968.0,-713775.0,2500416.0,0.01,prior
earnings_pica,243064.0,178524.0,2475805.0,1982447.0,493358.0,6150696.0,28.7,total
earnings,633083.0,470489.0,6781930.0,5458682.0,1323248.0,15844571.0,29.97,total
net_profits_city,1433775.0,151976.0,5914475.0,9616932.0,-3702457.0,36425525.0,13.97,current
net_profits_city,724613.0,205131.0,6629984.0,1458560.0,5171424.0,-1929984.0,141.06,prior
net_profits_city,2158388.0,357107.0,12544459.0,11075492.0,1468967.0,34495541.0,26.67,total
net_profits_pica,2218189.0,1359570.0,12889019.0,10351523.0,2537496.0,24305656.0,34.65,current
net_profits_pica,11.0,186042.0,669.0,1322829.0,-1322160.0,7398656.0,0.01,prior
net_profits_pica,2218200.0,1545612.0,12889688.0,11674352.0,1215336.0,31704312.0,28.9,total
net_profits,4376588.0,1902719.0,25434147.0,22749844.0,2684303.0,66199853.0,27.76,total
wage_earnings_net_profits,198972774.0,182149156.0,1225202040.0,1151949603.0,73252437.0,1264079960.0,49.22,total
wage_earnings_net_profits_pica,53353046.0,47453397.0,330551931.0,304269252.0,26282679.0,344544069.0,48.96,total
wage_earnings_net_profits_city,145619728.0,134695759.0,894650109.0,847680351.0,46969758.0,919535891.0,49.31,total
birt,24186401.0,43679545.0,97465513.0,138379659.0,-40914146.0,537243487.0,15.36,current
birt,-1405420.0,2882331.0,11678492.0,9963193.0,1715299.0,23321508.0,33.37,prior
birt,22780981.0,46561876.0,109144005.0,148342852.0,-39198847.0,560564995.0,16.3,total
sales,16050298.0,16368822.0,139453364.0,135984974.0,3468390.0,167631636.0,45.41,total
amusement,1687607.0,4762654.0,23373145.0,20671514.0,2701631.0,10030855.0,69.97,total
tobacco,4153.0,19130.0,16974.0,87083.0,-70109.0,1095026.0,1.53,total
parking,,7404380.0,,47705645.0,,,,total
valet,,177034.0,,1011608.0,,,,total
real_estate_transfer,16182638.0,22300335.0,132529187.0,246277040.0,-113747853.0,256400813.0,34.08,total
outdoor_ads,285584.0,308169.0,1743444.0,1837474.0,-94030.0,2077556.0,45.63,total
soda,5669271.0,5647596.0,34974107.0,35484281.0,-510174.0,,,current
soda,2008.0,46337.0,537303.0,528145.0,9158.0,,,prior
soda,5671279.0,5693933.0,35511410.0,36012426.0,-501016.0,37989590.0,48.31,total
construction_impact,170513.0,368814.0,1250166.0,1597551.0,-347385.0,2249834.0,35.72,total
other_taxes,1568805.0,-4855322.0,2091386.0,1544994.0,546392.0,-2016386.0,2788.51,total
all_taxes,246866613.0,266531024.0,1413428973.0,1557947984.0,-144519011.0,2727777027.0,34.13,total
